text,label
"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89. Maury Wills, who helped the Los Angeles Dodgers win three World Series titles with his base-stealing prowess, has died.",sport
"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP. Las Vegas never had a professional sports champion — until Sunday.",sport
Boston Marathon To Make Race More Inclusive For Nonbinary Runners. The race's organizers say nonbinary athletes won't have to register with the men's or women's divisions and provided qualifying times to guide their training.,sport
"Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony. Varvaro pitched mostly with the Atlanta Braves and started his law enforcement career in 2016.",sport
"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking. Carlos Alcaraz defeated Casper Ruud in the U.S. Open final to earn his first Grand Slam at age 19 and become the youngest man to move up to No. 1 in the rankings.",sport
"Baseball Players Union Joins AFL-CIO In Show Of Solidarity With Other Workers. The MLB Players Association will finally be a member of the AFL-CIO, affiliating with 57 other unions across industries.",sport
"Kody Clemens Strikes Out MVP Shohei Ohtani, Trails Dad Roger By 4,671 Ks. The Detroit Tigers' rookie utility player got pressed into relief-pitching duty in a 10-0 loss to the Angels.",sport
"Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror. Bryant's widow testified that she ""lives in fear every day"" that the photos of her husband's death will pop up on social media.",sport
Deshaun Watson Settles With NFL For 11-Game Suspension. The Cleveland Browns quarterback was accused of sexual misconduct by two dozen women while he played for the Houston Texans.,sport
Talks On Possible Watson Settlement Progress. Two people familiar with the negotiations tell the AP that talks between the NFL and NFL Players Association on a discipline settlement for Cleveland Browns quarterback Deshaun Watson have progressed.,sport
"The Denver Broncos’ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams. Broncos quarterback Russell Wilson said the new ownership group, which includes two Black women, was a major move for diversity in the NFL.",sport
Tiger To Meet With Top Players Against LIV Golf. The PGA Tour is in Delaware for the first time and so is Tiger Woods.,sport
"Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans. D.J. Moore's cameo took place during ""Fan Fest,"" an event organized by the Carolina Panthers.",sport
Cleveland Browns QB Deshaun Watson Apologizes ‘To All The Women I Have Impacted’. The QB has been accused by two dozen women of sexual misconduct during massage therapy sessions.,sport
Judge: 3 Players Who Joined Saudi-Backed Golf Tour Can't Compete In PGA Postseason. Three suspended golfers who joined LIV Golf won't be allowed to compete in the PGA Tour's postseason.,sport
Broncos Make History After Being Sold For Record $4.65 Billion. The record $4.65 billion sale of the Denver Broncos to Walmart heir Rob Walton and his daughter and son-in-law has been unanimously approved by NFL owners.,sport
Jackie Robinson Museum Opens After 14 Years Of Planning. The Jackie Robinson Museum has opened in Manhattan with a gala ceremony attended by the 100-year-old wife of the barrier-breaking ballplayer and two of his children.,sport
"Paul Duncan, Former Notre Dame Star And NFL Player, Dead at 35. Duncan was an offensive lineman for Notre Dame and briefly joined the Denver Broncos as an undrafted free agent.",sport
"NFL Rookie John Metchie III Diagnosed With Leukemia, Will 'Likely' Miss Season. ""I cannot wait to come back stronger than ever,"" the Houston Texans receiver said.",sport
Muhammad Ali's 'Rumble In The Jungle' Belt Sells For $6.1M. Muhammad Ali’s championship belt from his 1974 “Rumble in the Jungle” heavyweight title fight has sold at auction for $6.18 million.,sport
"Charles Barkley: 'If You're Gay Or Transgender, I Love You!'. ""If anybody gives you s**t, you tell 'em Charles said f**k you!'""",sport
Novak Djokovic Beats Nick Kyrgios For 7th Wimbledon Title. Djokovic extended his unbeaten run at the grass-court Grand Slam tournament to 28 matches and raised his career haul to 21 major trophies.,sport
NFL Seeks Arbitration For Flores' Racial Discrimination Suit. The NFL and six of its teams have filed for arbitration in the lawsuit that alleges they engaged in racial discrimination.,sport
"Phil Mickelson Grilled On If He Cares About Being Seen As A 'Saudi Stooge'. One reporter asked the golf great if he was worried about being ""seen as a tool of sportswashing?""",sport
"Rafael Nadal Wins French Open For 14th Time, Defeating Casper Ruud. Nadal secured his 22nd Grand Slam title on Sunday at Roland Garros. No man has won more Grand Slam titles than Nadal.",sport
"Kody Clemens, Roger Clemens' Son, Set To Make Major League Debut With Detroit Tigers. ""I don't have to live up to what he did,"" Kody Clemens said of his pitching great pop after being called up from the minors.",sport
"Watch 'Slowest Pitch On Record' To Make A Batter Miss In Major League Baseball. Cubs shortstop Andrelton Simmons filled in at pitcher during a lopsided loss to the Reds, and he served up a leisurely lob to the Reds' Kyle Farmer.",sport
Tom Brady Takes Batting Practice. Gronk Shags The Balls. Enough Said.. The Tampa Bay Buccaneers quarterback showed the baseball skills that once got him drafted by the Montreal Expos.,sport
"Tom Brady Will Join Fox Sports As Football Analyst When He Retires: Network. The Tampa Bay Buccaneers quarterback ""will also serve as an ambassador for us,"" Fox Corp. CEO Lachlan Murdoch said.",sport
Diego Maradona's 'Hand Of God' Jersey Sells For Record Sum. The Argentine soccer superstar wore the shirt when he scored the controversial goal against England in the 1986 World Cup.,sport
NFL Network Introduces Malik Willis' 'Mom' At NFL Draft — But It Wasn't His Mom. The quarterback prospect from Liberty University good-naturedly corrected the misstep.,sport
